iter	Passed	Remaining
0	1	142
1	2	121
2	3	115
3	4	107
4	5	111
5	7	110
6	8	108
7	9	107
8	10	105
9	11	102
10	12	100
11	13	100
12	15	100
13	16	98
14	17	96
15	17	94
16	18	92
17	20	92
18	21	92
19	22	90
20	23	89
21	24	87
22	25	85
23	26	84
24	28	84
25	29	83
26	30	81
27	31	79
28	31	78
29	32	76
30	33	75
31	35	74
32	36	73
33	37	72
34	38	71
35	39	69
36	40	68
37	41	66
38	42	65
39	43	64
40	44	63
41	44	61
42	45	60
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	64	38
63	65	37
64	67	36
65	68	35
66	69	33
67	70	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	82	20
80	83	19
81	84	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	90	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
