iter	Passed	Remaining
0	144	144440
1	147	73420
2	149	49696
3	151	37783
4	155	30923
5	158	26227
6	161	22925
7	164	20384
8	167	18435
9	170	16868
10	172	15553
11	175	14485
12	178	13582
13	181	12787
14	184	12126
15	187	11524
16	190	11014
17	193	10534
18	196	10125
19	198	9721
20	200	9369
21	203	9056
22	205	8745
23	208	8487
24	210	8224
25	212	7977
26	214	7724
27	216	7516
28	217	7296
29	219	7100
30	221	6913
31	223	6764
32	225	6606
33	227	6455
34	228	6308
35	231	6189
36	232	6053
37	233	5919
38	235	5795
39	237	5695
40	238	5587
41	240	5486
42	242	5388
43	244	5307
44	245	5217
45	247	5135
46	248	5041
47	250	4965
48	252	4892
49	253	4824
50	255	4757
51	257	4695
52	259	4637
53	260	4571
54	262	4502
55	263	4441
56	265	4394
57	266	4333
58	267	4269
59	268	4210
60	271	4174
61	272	4126
62	273	4070
63	274	4017
64	275	3966
65	276	3914
66	278	3875
67	279	3835
68	280	3789
69	281	3744
70	282	3699
71	284	3660
72	286	3631
73	287	3600
74	288	3562
75	289	3525
76	291	3492
77	292	3458
78	293	3425
79	294	3390
80	295	3355
81	297	3326
82	298	3297
83	300	3274
84	301	3244
85	302	3213
86	303	3183
87	304	3153
88	305	3131
89	307	3111
90	309	3090
91	310	3065
92	311	3040
93	313	3018
94	314	2991
95	315	2970
96	317	2953
97	318	2933
98	320	2916
99	321	2893
100	322	2871
101	324	2855
102	325	2833
103	326	2813
104	327	2795
105	329	2775
106	330	2759
107	332	2742
108	334	2736
109	335	2717
110	336	2697
111	338	2682
112	339	2667
113	341	2650
114	342	2632
115	343	2615
116	343	2596
117	344	2577
118	346	2562
119	347	2546
120	348	2529
121	349	2512
122	350	2495
123	350	2479
124	352	2468
125	354	2458
126	355	2442
127	356	2427
128	357	2412
129	358	2397
130	359	2382
131	360	2368
132	361	2358
133	363	2349
134	364	2335
135	365	2322
136	366	2308
137	367	2293
138	368	2280
139	369	2271
140	371	2261
141	371	2246
142	372	2234
143	373	2221
144	374	2210
145	376	2203
146	378	2196
147	380	2189
148	381	2181
149	383	2174
150	385	2168
151	387	2161
152	389	2154
153	390	2147
154	392	2139
155	393	2129
156	394	2117
157	395	2106
158	396	2095
159	397	2086
160	398	2075
161	399	2066
162	400	2057
163	401	2047
164	402	2037
165	403	2028
166	404	2019
167	406	2012
168	408	2006
169	409	2000
170	411	1993
171	412	1985
172	413	1977
173	415	1970
174	416	1962
175	417	1953
176	418	1946
177	419	1937
178	421	1932
179	422	1925
180	424	1919
181	425	1913
182	427	1907
183	428	1898
184	429	1889
185	430	1883
186	431	1876
187	432	1869
188	434	1863
189	435	1855
190	436	1848
191	437	1843
192	439	1837
193	440	1829
194	441	1822
195	442	1814
196	443	1807
197	444	1800
198	446	1795
199	447	1788
200	448	1781
201	449	1776
202	450	1768
203	451	1761
204	452	1755
205	454	1750
206	455	1744
207	456	1738
208	457	1731
209	458	1725
210	459	1718
211	461	1714
212	462	1709
213	463	1704
214	464	1697
215	465	1690
216	466	1684
217	467	1678
218	469	1673
219	471	1670
220	472	1664
221	473	1658
222	474	1652
223	476	1649
224	477	1645
225	479	1641
226	480	1636
227	481	1630
228	482	1625
229	484	1622
230	485	1617
231	487	1613
232	489	1611
233	492	1611
234	494	1609
235	496	1606
236	498	1603
237	500	1601
238	501	1597
239	503	1593
240	504	1590
241	506	1586
242	507	1582
243	509	1578
244	510	1573
245	512	1569
246	513	1566
247	514	1561
248	516	1557
249	517	1553
250	518	1548
251	520	1544
252	522	1541
253	524	1538
254	525	1535
255	526	1531
256	528	1527
257	530	1524
258	532	1522
259	534	1519
260	536	1520
261	538	1517
